"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"122",4,5,"Sperm Whale",NA,NA,NA,NA,0.0284,9.77899471934285e-05,NA,NA,NA,NA,NA,NA,NA,NA
"123",4,5,"Sperm whales",NA,NA,NA,NA,NA,NA,NA,NA,0.011,0.0011,NA,NA,NA,NA
"124",4,5,"Sub-Antarctic Fur Seals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0092294,0.00105975062664843
"125",4,5,"Toothed whales and dolphins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,3.26409495548961e-05,NA,NA
"126",4,5,"Toothed_whale",NA,NA,NA,NA,NA,NA,0.00351,0.000554445506157568,NA,NA,NA,NA,NA,NA
"127",4,5,"Toothed_whales",2.46e-05,1.55026003532475e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",4,5,"Wandering Albatross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001427,1.63852920474496e-05
"129",4,5,"Weddell",0.000398188,0.000250932903636542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",4,5,"Weddell seal",NA,NA,0.002411374,0.000947976096740031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",4,5,"Weddell Seal",NA,NA,NA,NA,0.0812,0.000279596609581211,NA,NA,NA,NA,NA,NA,NA,NA
"132",4,5,"Weddell seals",NA,NA,NA,NA,NA,NA,NA,NA,0.045,0.0045,NA,NA,NA,NA
"133",5,5,"Killer Whale",NA,NA,NA,NA,0.0075,2.58248099982646e-05,NA,NA,NA,NA,NA,NA,NA,NA
"134",5,5,"Killer whales",NA,NA,NA,NA,NA,NA,NA,NA,0.006,6e-04,9.3e-06,2.75964391691395e-07,NA,NA
"135",5,5,"Leopard",0.000143839,9.06454687890558e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",5,5,"Leopard seals",NA,NA,NA,NA,NA,NA,NA,NA,0.002,2e-04,NA,NA,NA,NA
"137",5,5,"Leopard Seals",NA,NA,NA,NA,0.0084,2.89237871980563e-05,NA,NA,NA,NA,NA,NA,NA,NA
"138",5,5,"Leopard_seal",NA,NA,NA,NA,NA,NA,4.58e-05,7.23464506610159e-06,NA,NA,NA,NA,NA,NA
"139",5,5,"Orca",0.000466965,0.000294275275363993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",5,5,"Orcas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53e-05,2.9050307554343e-06
"141",6,6,"Benthic invertebrates",NA,NA,1.9995828,0.786089879816446,85.5375,0.294531958030207,NA,NA,NA,NA,NA,NA,NA,NA
"142",6,6,"Benthic_invertebrates",NA,NA,NA,NA,NA,NA,5.7213926,0.90376080228865,NA,NA,NA,NA,NA,NA
"143",6,6,"Benthos",NA,NA,NA,NA,NA,NA,NA,NA,7.15,0.715,NA,NA,0.5,0.057411675008583
"144",6,6,"Macrobenthos",0.43936331,0.276881048976017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",6,6,"Megabenthos",1.3590782,0.856473422089879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",6,6,"Meiobenthos",0.043817659,0.0276133193451984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
